TYPE,CONTENT,DESCRIPTION,PRIORITY,INDENT,AUTHOR,RESPONSIBLE,DATE,DATE_LANG,TIMEZONE
task,DL-W4: Gradient Descent (GD) (1/1),,2,,,,2024-02-20,en,
task,DL-W4:  Momentum Based GD (1/1),,2,,,,2024-02-20,en,
task,DL-W4:  Nesterov Accelerated GD (1/1),,2,,,,2024-02-20,en,
task,DL-W4:  Stochastic GD (1/1),,2,,,,2024-02-20,en,
task,DL-W4:  AdaGrad (1/1),,2,,,,2024-02-20,en,
task,DL-W4:  RMSProp (1/1),,2,,,,2024-02-20,en,
task,DL-W4:  Adam (1/1),,2,,,,2024-02-20,en,
task,DL-W4:  Eigenvalues and eigenvectors (1/1),,2,,,,2024-02-20,en,
task,DL-W4:  Eigenvalue Decomposition (1/1),,2,,,,2024-02-20,en,
task,DL-W4:  Basis (1/1),,2,,,,2024-02-20,en,
task,DL-W5: Principal Component Analysis and its interpretations (1/3),,2,,,,2024-02-21,en,
task,DL-W5: Principal Component Analysis and its interpretations (2/3),,2,,,,2024-02-22,en,
task,DL-W5: Principal Component Analysis and its interpretations (3/3),,2,,,,2024-02-23,en,
task,DL-W5:  Singular Value Decomposition (1/4),,2,,,,2024-02-24,en,
task,DL-W5:  Singular Value Decomposition (2/4),,2,,,,2024-02-25,en,
task,DL-W5:  Singular Value Decomposition (3/4),,2,,,,2024-02-26,en,
task,DL-W5:  Singular Value Decomposition (4/4),,2,,,,2024-02-27,en,
task,DL-W6: Autoencoders and relation to PCA (1/1),,2,,,,2024-02-28,en,
task,DL-W6:  Regularization in autoencoders (1/1),,2,,,,2024-02-29,en,
task,DL-W6:  Denoising autoencoders (1/2),,2,,,,2024-03-01,en,
task,DL-W6:  Denoising autoencoders (2/2),,2,,,,2024-03-02,en,
task,DL-W6:  Sparse autoencoders (1/1),,2,,,,2024-03-03,en,
task,DL-W6:  Contractive autoencoders (1/2),,2,,,,2024-03-04,en,
task,DL-W6:  Contractive autoencoders (2/2),,2,,,,2024-03-05,en,
task,DL-W7: Regularization: Bias Variance Tradeoff (1/1),,2,,,,2024-03-06,en,
task,DL-W7:  L2 regularization (1/1),,2,,,,2024-03-06,en,
task,DL-W7:  Early stopping (1/1),,2,,,,2024-03-07,en,
task,DL-W7:  Dataset augmentation (1/1),,2,,,,2024-03-08,en,
task,DL-W7:  Parameter sharing and tying (1/1),,2,,,,2024-03-09,en,
task,DL-W7:  Injecting noise at input (1/1),,2,,,,2024-03-10,en,
task,DL-W7:  Ensemble methods (1/1),,2,,,,2024-03-11,en,
task,DL-W7:  Dropout (1/1),,2,,,,2024-03-12,en,
task,DL-W8: Greedy Layerwise Pre-training (1/1),,2,,,,2024-03-13,en,
task,DL-W8:  Better activation functions (1/2),,2,,,,2024-03-14,en,
task,DL-W8:  Better activation functions (2/2),,2,,,,2024-03-15,en,
