TYPE,CONTENT,DESCRIPTION,PRIORITY,INDENT,AUTHOR,RESPONSIBLE,DATE,DATE_LANG,TIMEZONE
task,DL-W1: (Partial) History of Deep Learning,,2,,,,2024-02-20,en,
task,DL-W1:  Deep Learning Success Stories McCulloch Pitts Neuron,,2,,,,2024-02-23,en,
task,DL-W1:  Thresholding Logic,,2,,,,2024-02-27,en,
task,DL-W1:  Perceptrons,,2,,,,2024-03-01,en,
task,DL-W1:  Perceptron Learning Algorithm,,2,,,,2024-03-05,en,
task,DL-W2: Multilayer Perceptrons (MLPs),,2,,,,2024-03-09,en,
task,DL-W2:  Representation Power of MLPs,,2,,,,2024-03-12,en,
task,DL-W2:  Sigmoid Neurons,,2,,,,2024-03-15,en,
task,DL-W2:  Gradient Descent,,2,,,,2024-03-18,en,
task,DL-W2:  Feedforward Neural Networks,,2,,,,2024-03-21,en,
task,DL-W2:  Representation Power of Feedforward Neural Networks,,2,,,,2024-03-24,en,
task,DL-W3: FeedForward Neural Networks,,2,,,,2024-03-27,en,
task,DL-W3:  Backpropagation,,2,,,,2024-04-05,en,
