TYPE,CONTENT,DESCRIPTION,PRIORITY,INDENT,AUTHOR,RESPONSIBLE,DATE,DATE_LANG,TIMEZONE
task,Math-I: Random variables (1/3),,2,,,,2024-02-20,en,
task,CO&A-I: Functional Units (1/2),,2,,,,2024-02-20,en,
task,OS-I: Computer System Overview: Basic elements (1/1),,2,,,,2024-02-20,en,
task,D&AA-I: Introduction: Fundamentals of algorithmic problem solving (1/3),,2,,,,2024-02-20,en,
task,DBMS-I: Characteristics of database (1/1),,2,,,,2024-02-20,en,
task,OSL: 1. Basics of UNIX commands and study of system calls. (1/9),,2,,,,2024-02-20,en,
task,DBL: 1. Data Definition Commands (1/13),,2,,,,2024-02-20,en,
task,Math-I: Random variables (2/3),,2,,,,2024-02-21,en,
task,CO&A-I: Functional Units (2/2),,2,,,,2024-02-21,en,
task,OS-I: Instruction execution (1/2),,2,,,,2024-02-21,en,
task,D&AA-I: Introduction: Fundamentals of algorithmic problem solving (2/3),,2,,,,2024-02-21,en,
task,DBMS-I: Database users (1/2),,2,,,,2024-02-21,en,
task,OSL: 1. Basics of UNIX commands and study of system calls. (2/9),,2,,,,2024-02-21,en,
task,DBL: 1. Data Definition Commands (2/13),,2,,,,2024-02-21,en,
task,Math-I: Random variables (3/3),,2,,,,2024-02-22,en,
task,CO&A-I: Basic Operational Concepts (1/3),,2,,,,2024-02-22,en,
task,OS-I: Instruction execution (2/2),,2,,,,2024-02-22,en,
task,D&AA-I: Introduction: Fundamentals of algorithmic problem solving (3/3),,2,,,,2024-02-22,en,
task,DBMS-I: Database users (2/2),,2,,,,2024-02-22,en,
task,OSL: 1. Basics of UNIX commands and study of system calls. (3/9),,2,,,,2024-02-22,en,
task,DBL: 1. Data Definition Commands (3/13),,2,,,,2024-02-22,en,
task,Math-I: Discrete and continuous random variables (1/3),,2,,,,2024-02-23,en,
task,CO&A-I: Basic Operational Concepts (2/3),,2,,,,2024-02-23,en,
task,OS-I: Interrupts (1/2),,2,,,,2024-02-23,en,
task,D&AA-I: Important problem types (1/3),,2,,,,2024-02-23,en,
task,DBMS-I: Data models (1/2),,2,,,,2024-02-23,en,
task,OSL: 1. Basics of UNIX commands and study of system calls. (4/9),,2,,,,2024-02-23,en,
task,DBL: 1. Data Definition Commands (4/13),,2,,,,2024-02-23,en,
task,Math-I: Discrete and continuous random variables (2/3),,2,,,,2024-02-24,en,
task,CO&A-I: Basic Operational Concepts (3/3),,2,,,,2024-02-24,en,
task,OS-I: Interrupts (2/2),,2,,,,2024-02-24,en,
task,D&AA-I: Important problem types (2/3),,2,,,,2024-02-24,en,
task,DBMS-I: Data models (2/2),,2,,,,2024-02-24,en,
task,OSL: 1. Basics of UNIX commands and study of system calls. (5/9),,2,,,,2024-02-24,en,
task,DBL: 1. Data Definition Commands (5/13),,2,,,,2024-02-24,en,
task,Math-I: Discrete and continuous random variables (3/3),,2,,,,2024-02-25,en,
task,CO&A-I: Performance (1/2),,2,,,,2024-02-25,en,
task,OS-I: Memory hierarchy (1/2),,2,,,,2024-02-25,en,
task,D&AA-I: Important problem types (3/3),,2,,,,2024-02-25,en,
task,DBMS-I:  Schemas (1/2),,2,,,,2024-02-25,en,
task,OSL: 1. Basics of UNIX commands and study of system calls. (6/9),,2,,,,2024-02-25,en,
task,DBL: 1. Data Definition Commands (6/13),,2,,,,2024-02-25,en,
task,Math-I: Moments (1/3),,2,,,,2024-02-26,en,
task,CO&A-I: Performance (2/2),,2,,,,2024-02-26,en,
task,OS-I: Memory hierarchy (2/2),,2,,,,2024-02-26,en,
task,D&AA-I:  Fundamentals of the Analysis of Algorithm Efficiency: Analysis framework (1/4),,2,,,,2024-02-26,en,
task,DBMS-I:  Schemas (2/2),,2,,,,2024-02-26,en,
task,OSL: 1. Basics of UNIX commands and study of system calls. (7/9),,2,,,,2024-02-26,en,
task,DBL: 1. Data Definition Commands (7/13),,2,,,,2024-02-26,en,
task,Math-I: Moments (2/3),,2,,,,2024-02-27,en,
task,CO&A-I:  Instructions: Language of the computer (1/3),,2,,,,2024-02-27,en,
task,OS-I: Cache memory (1/2),,2,,,,2024-02-27,en,
task,D&AA-I:  Fundamentals of the Analysis of Algorithm Efficiency: Analysis framework (2/4),,2,,,,2024-02-27,en,
task,DBMS-I: Three-schema architecture (1/1),,2,,,,2024-02-27,en,
task,OSL: 1. Basics of UNIX commands and study of system calls. (8/9),,2,,,,2024-02-27,en,
task,DBL: 1. Data Definition Commands (8/13),,2,,,,2024-02-27,en,
task,Math-I: Moments (3/3),,2,,,,2024-02-28,en,
task,CO&A-I:  Instructions: Language of the computer (2/3),,2,,,,2024-02-28,en,
task,OS-I: Cache memory (2/2),,2,,,,2024-02-28,en,
task,D&AA-I:  Fundamentals of the Analysis of Algorithm Efficiency: Analysis framework (3/4),,2,,,,2024-02-28,en,
task,DBMS-I: Database system environment (1/2),,2,,,,2024-02-28,en,
task,OSL: 1. Basics of UNIX commands and study of system calls. (9/9),,2,,,,2024-02-28,en,
task,DBL: 1. Data Definition Commands (9/13),,2,,,,2024-02-28,en,
task,Math-I: Moment generating functions (1/4),,2,,,,2024-02-29,en,
task,CO&A-I:  Instructions: Language of the computer (3/3),,2,,,,2024-02-29,en,
task,OS-I: Direct memory access (1/1),,2,,,,2024-02-29,en,
task,D&AA-I:  Fundamentals of the Analysis of Algorithm Efficiency: Analysis framework (4/4),,2,,,,2024-02-29,en,
task,DBMS-I: Database system environment (2/2),,2,,,,2024-02-29,en,
task,OSL: 2. Implement a few UNIX commands using system calls. (1/9),,2,,,,2024-02-29,en,
task,DBL: 1. Data Definition Commands (10/13),,2,,,,2024-02-29,en,
task,Math-I: Moment generating functions (2/4),,2,,,,2024-03-01,en,
task,CO&A-I: Operations (1/2),,2,,,,2024-03-01,en,
task,OS-I: Multiprocessor and multicore organization (1/2),,2,,,,2024-03-01,en,
task,D&AA-I: Asymptotic notations and basic efficiency classes (1/3),,2,,,,2024-03-01,en,
task,DBMS-I: Centralized and client/server DBMS architectures (1/2),,2,,,,2024-03-01,en,
task,OSL: 2. Implement a few UNIX commands using system calls. (2/9),,2,,,,2024-03-01,en,
task,DBL: 1. Data Definition Commands (11/13),,2,,,,2024-03-01,en,
task,Math-I: Moment generating functions (3/4),,2,,,,2024-03-02,en,
task,CO&A-I: Operations (2/2),,2,,,,2024-03-02,en,
task,OS-I: Multiprocessor and multicore organization (2/2),,2,,,,2024-03-02,en,
task,D&AA-I: Asymptotic notations and basic efficiency classes (2/3),,2,,,,2024-03-02,en,
task,DBMS-I: Centralized and client/server DBMS architectures (2/2),,2,,,,2024-03-02,en,
task,OSL: 2. Implement a few UNIX commands using system calls. (3/9),,2,,,,2024-03-02,en,
task,DBL: 1. Data Definition Commands (12/13),,2,,,,2024-03-02,en,
task,Math-I: Moment generating functions (4/4),,2,,,,2024-03-03,en,
task,CO&A-I:  Operands (1/3),,2,,,,2024-03-03,en,
task,OS-I:  Operating System Overview: Objectives and functions (1/2),,2,,,,2024-03-03,en,
task,D&AA-I: Asymptotic notations and basic efficiency classes (3/3),,2,,,,2024-03-03,en,
task,DBMS-I: Data modeling using ER model (1/2),,2,,,,2024-03-03,en,
task,OSL: 2. Implement a few UNIX commands using system calls. (4/9),,2,,,,2024-03-03,en,
task,DBL: 1. Data Definition Commands (13/13),,2,,,,2024-03-03,en,
task,Math-I: Binomial (1/3),,2,,,,2024-03-04,en,
task,CO&A-I:  Operands (2/3),,2,,,,2024-03-04,en,
task,OS-I:  Operating System Overview: Objectives and functions (2/2),,2,,,,2024-03-04,en,
task,D&AA-I: Mathematical analysis for recursive and non-recursive algorithms.  (1/4),,2,,,,2024-03-04,en,
task,DBMS-I: Data modeling using ER model (2/2),,2,,,,2024-03-04,en,
task,OSL: 2. Implement a few UNIX commands using system calls. (5/9),,2,,,,2024-03-04,en,
task,DBL: 2. Data Manipulation Commands (1/13),,2,,,,2024-03-04,en,
task,Math-I: Binomial (2/3),,2,,,,2024-03-05,en,
task,CO&A-I:  Operands (3/3),,2,,,,2024-03-05,en,
task,OS-I: Evolution of operating system (1/2),,2,,,,2024-03-05,en,
task,D&AA-I: Mathematical analysis for recursive and non-recursive algorithms.  (2/4),,2,,,,2024-03-05,en,
task,DBMS-I: Enhanced-ER model.  (1/1),,2,,,,2024-03-05,en,
task,OSL: 2. Implement a few UNIX commands using system calls. (6/9),,2,,,,2024-03-05,en,
task,DBL: 2. Data Manipulation Commands (2/13),,2,,,,2024-03-05,en,
task,Math-I: Binomial (3/3),,2,,,,2024-03-06,en,
task,CO&A-I: Instruction representation (1/2),,2,,,,2024-03-06,en,
task,OS-I: Evolution of operating system (2/2),,2,,,,2024-03-06,en,
task,D&AA-I: Mathematical analysis for recursive and non-recursive algorithms.  (3/4),,2,,,,2024-03-06,en,
task,DBMS-II: Relational Model: Concepts (1/2),,2,,,,2024-03-06,en,
task,OSL: 2. Implement a few UNIX commands using system calls. (7/9),,2,,,,2024-03-06,en,
task,DBL: 2. Data Manipulation Commands (3/13),,2,,,,2024-03-06,en,
task,Math-I:  Poisson (1/3),,2,,,,2024-03-07,en,
task,CO&A-I: Instruction representation (2/2),,2,,,,2024-03-07,en,
task,OS-I:  Computer system organization (1/2),,2,,,,2024-03-07,en,
task,D&AA-I: Mathematical analysis for recursive and non-recursive algorithms.  (4/4),,2,,,,2024-03-07,en,
task,DBMS-II: Relational Model: Concepts (2/2),,2,,,,2024-03-07,en,
task,OSL: 2. Implement a few UNIX commands using system calls. (8/9),,2,,,,2024-03-07,en,
task,DBL: 2. Data Manipulation Commands (4/13),,2,,,,2024-03-07,en,
task,Math-I:  Poisson (2/3),,2,,,,2024-03-08,en,
task,CO&A-I:  Logical operations (1/3),,2,,,,2024-03-08,en,
task,OS-I:  Computer system organization (2/2),,2,,,,2024-03-08,en,
task,D&AA-II: Divide and Conquer: Mergesort (1/3),,2,,,,2024-03-08,en,
task,DBMS-II: Constraints (1/2),,2,,,,2024-03-08,en,
task,OSL: 2. Implement a few UNIX commands using system calls. (9/9),,2,,,,2024-03-08,en,
task,DBL: 2. Data Manipulation Commands (5/13),,2,,,,2024-03-08,en,
task,Math-I:  Poisson (3/3),,2,,,,2024-03-09,en,
task,CO&A-I:  Logical operations (2/3),,2,,,,2024-03-09,en,
task,OS-I:  Operating System Structure and Operations: System calls (1/2),,2,,,,2024-03-09,en,
task,D&AA-II: Divide and Conquer: Mergesort (2/3),,2,,,,2024-03-09,en,
task,DBMS-II: Constraints (2/2),,2,,,,2024-03-09,en,
task,OSL: 3. Implement Shared memory and IPC (1/10),,2,,,,2024-03-09,en,
task,DBL: 2. Data Manipulation Commands (6/13),,2,,,,2024-03-09,en,
task,Math-I:  Geometric (1/3),,2,,,,2024-03-10,en,
task,CO&A-I:  Logical operations (3/3),,2,,,,2024-03-10,en,
task,OS-I:  Operating System Structure and Operations: System calls (2/2),,2,,,,2024-03-10,en,
task,D&AA-II: Divide and Conquer: Mergesort (3/3),,2,,,,2024-03-10,en,
task,DBMS-II: Update operations (1/2),,2,,,,2024-03-10,en,
task,OSL: 3. Implement Shared memory and IPC (2/10),,2,,,,2024-03-10,en,
task,DBL: 2. Data Manipulation Commands (7/13),,2,,,,2024-03-10,en,
task,Math-I:  Geometric (2/3),,2,,,,2024-03-11,en,
task,CO&A-I: Decision making (1/2),,2,,,,2024-03-11,en,
task,OS-I: System programs (1/1),,2,,,,2024-03-11,en,
task,D&AA-II: Quicksort (1/4),,2,,,,2024-03-11,en,
task,DBMS-II: Update operations (2/2),,2,,,,2024-03-11,en,
task,OSL: 3. Implement Shared memory and IPC (3/10),,2,,,,2024-03-11,en,
task,DBL: 2. Data Manipulation Commands (8/13),,2,,,,2024-03-11,en,
task,Math-I:  Geometric (3/3),,2,,,,2024-03-12,en,
task,CO&A-I: Decision making (2/2),,2,,,,2024-03-12,en,
task,OS-I: OS generation and system boot.  (1/2),,2,,,,2024-03-12,en,
task,D&AA-II: Quicksort (2/4),,2,,,,2024-03-12,en,
task,DBMS-II: Constraint violations (1/1),,2,,,,2024-03-12,en,
task,OSL: 3. Implement Shared memory and IPC (4/10),,2,,,,2024-03-12,en,
task,DBL: 2. Data Manipulation Commands (9/13),,2,,,,2024-03-12,en,
task,Math-I:  Uniform (1/4),,2,,,,2024-03-13,en,
task,CO&A-I:  MIPS addressing.  (1/3),,2,,,,2024-03-13,en,
task,OS-I: OS generation and system boot.  (2/2),,2,,,,2024-03-13,en,
task,D&AA-II: Quicksort (3/4),,2,,,,2024-03-13,en,
task,DBMS-II:  Relational Algebra (1/2),,2,,,,2024-03-13,en,
task,OSL: 3. Implement Shared memory and IPC (5/10),,2,,,,2024-03-13,en,
task,DBL: 2. Data Manipulation Commands (10/13),,2,,,,2024-03-13,en,
task,Math-I:  Uniform (2/4),,2,,,,2024-03-14,en,
task,CO&A-I:  MIPS addressing.  (2/3),,2,,,,2024-03-14,en,
task,OS-II: Processes: Process concept (1/2),,2,,,,2024-03-14,en,
task,D&AA-II: Quicksort (4/4),,2,,,,2024-03-14,en,
task,DBMS-II:  Relational Algebra (2/2),,2,,,,2024-03-14,en,
task,OSL: 3. Implement Shared memory and IPC (6/10),,2,,,,2024-03-14,en,
task,DBL: 2. Data Manipulation Commands (11/13),,2,,,,2024-03-14,en,
task,Math-I:  Uniform (3/4),,2,,,,2024-03-15,en,
task,CO&A-I:  MIPS addressing.  (3/3),,2,,,,2024-03-15,en,
task,OS-II: Processes: Process concept (2/2),,2,,,,2024-03-15,en,
task,D&AA-II: Multiplication of large integers (1/3),,2,,,,2024-03-15,en,
task,DBMS-II:  Basic SQL: Data Definition (1/2),,2,,,,2024-03-15,en,
task,OSL: 3. Implement Shared memory and IPC (7/10),,2,,,,2024-03-15,en,
task,DBL: 2. Data Manipulation Commands (12/13),,2,,,,2024-03-15,en,
task,Math-I:  Uniform (4/4),,2,,,,2024-03-16,en,
task,CO&A-II: Addition and subtraction (1/2),,2,,,,2024-03-16,en,
task,OS-II: Process scheduling (1/2),,2,,,,2024-03-16,en,
task,D&AA-II: Multiplication of large integers (2/3),,2,,,,2024-03-16,en,
task,DBMS-II:  Basic SQL: Data Definition (2/2),,2,,,,2024-03-16,en,
task,OSL: 3. Implement Shared memory and IPC (8/10),,2,,,,2024-03-16,en,
task,DBL: 2. Data Manipulation Commands (13/13),,2,,,,2024-03-16,en,
task,Math-I:  Exponential (1/3),,2,,,,2024-03-17,en,
task,CO&A-II: Addition and subtraction (2/2),,2,,,,2024-03-17,en,
task,OS-II: Process scheduling (2/2),,2,,,,2024-03-17,en,
task,D&AA-II: Multiplication of large integers (3/3),,2,,,,2024-03-17,en,
task,DBMS-II: SQL constraints (1/2),,2,,,,2024-03-17,en,
task,OSL: 3. Implement Shared memory and IPC (9/10),,2,,,,2024-03-17,en,
task,DBL: 3. Complex SQL Queries (1/13),,2,,,,2024-03-17,en,
task,Math-I:  Exponential (2/3),,2,,,,2024-03-18,en,
task,CO&A-II:  Multiplication (1/3),,2,,,,2024-03-18,en,
task,OS-II: Operations on processes (1/2),,2,,,,2024-03-18,en,
task,D&AA-II: Strassen’s matrix multiplication (1/4),,2,,,,2024-03-18,en,
task,DBMS-II: SQL constraints (2/2),,2,,,,2024-03-18,en,
task,OSL: 3. Implement Shared memory and IPC (10/10),,2,,,,2024-03-18,en,
task,DBL: 3. Complex SQL Queries (2/13),,2,,,,2024-03-18,en,
task,Math-I:  Exponential (3/3),,2,,,,2024-03-19,en,
task,CO&A-II:  Multiplication (2/3),,2,,,,2024-03-19,en,
task,OS-II: Operations on processes (2/2),,2,,,,2024-03-19,en,
task,D&AA-II: Strassen’s matrix multiplication (2/4),,2,,,,2024-03-19,en,
