NAME,START,END
Math-I: Random variables,2024-02-20,2024-02-23
CO&A-I: Functional Units,2024-02-20,2024-02-22
OS-I: Computer System Overview: Basic elements,2024-02-20,2024-02-21
D&AA-I: Introduction: Fundamentals of algorithmic problem solving,2024-02-20,2024-02-23
DBMS-I: Characteristics of database,2024-02-20,2024-02-21
OSL: 1. Basics of UNIX commands and study of system calls.,2024-02-20,2024-02-29
DBL: 1. Data Definition Commands,2024-02-20,2024-03-04
OS-I: Instruction execution,2024-02-21,2024-02-23
DBMS-I: Database users,2024-02-21,2024-02-23
CO&A-I: Basic Operational Concepts,2024-02-22,2024-02-25
Math-I: Discrete and continuous random variables,2024-02-23,2024-02-26
OS-I: Interrupts,2024-02-23,2024-02-25
D&AA-I: Important problem types,2024-02-23,2024-02-26
DBMS-I: Data models,2024-02-23,2024-02-25
CO&A-I: Performance,2024-02-25,2024-02-27
OS-I: Memory hierarchy,2024-02-25,2024-02-27
DBMS-I:  Schemas,2024-02-25,2024-02-27
Math-I: Moments,2024-02-26,2024-02-29
D&AA-I:  Fundamentals of the Analysis of Algorithm Efficiency: Analysis framework,2024-02-26,2024-03-01
CO&A-I:  Instructions: Language of the computer,2024-02-27,2024-03-01
OS-I: Cache memory,2024-02-27,2024-02-29
DBMS-I: Three-schema architecture,2024-02-27,2024-02-28
DBMS-I: Database system environment,2024-02-28,2024-03-01
Math-I: Moment generating functions,2024-02-29,2024-03-04
OS-I: Direct memory access,2024-02-29,2024-03-01
OSL: 2. Implement a few UNIX commands using system calls.,2024-02-29,2024-03-09
CO&A-I: Operations,2024-03-01,2024-03-03
OS-I: Multiprocessor and multicore organization,2024-03-01,2024-03-03
D&AA-I: Asymptotic notations and basic efficiency classes,2024-03-01,2024-03-04
DBMS-I: Centralized and client/server DBMS architectures,2024-03-01,2024-03-03
CO&A-I:  Operands,2024-03-03,2024-03-06
OS-I:  Operating System Overview: Objectives and functions,2024-03-03,2024-03-05
DBMS-I: Data modeling using ER model,2024-03-03,2024-03-05
Math-I: Binomial,2024-03-04,2024-03-07
D&AA-I: Mathematical analysis for recursive and non-recursive algorithms. ,2024-03-04,2024-03-08
DBL: 2. Data Manipulation Commands,2024-03-04,2024-03-17
OS-I: Evolution of operating system,2024-03-05,2024-03-07
DBMS-I: Enhanced-ER model. ,2024-03-05,2024-03-06
CO&A-I: Instruction representation,2024-03-06,2024-03-08
DBMS-II: Relational Model: Concepts,2024-03-06,2024-03-08
Math-I:  Poisson,2024-03-07,2024-03-10
OS-I:  Computer system organization,2024-03-07,2024-03-09
CO&A-I:  Logical operations,2024-03-08,2024-03-11
D&AA-II: Divide and Conquer: Mergesort,2024-03-08,2024-03-11
DBMS-II: Constraints,2024-03-08,2024-03-10
OS-I:  Operating System Structure and Operations: System calls,2024-03-09,2024-03-11
OSL: 3. Implement Shared memory and IPC,2024-03-09,2024-03-19
Math-I:  Geometric,2024-03-10,2024-03-13
DBMS-II: Update operations,2024-03-10,2024-03-12
CO&A-I: Decision making,2024-03-11,2024-03-13
OS-I: System programs,2024-03-11,2024-03-12
D&AA-II: Quicksort,2024-03-11,2024-03-15
OS-I: OS generation and system boot. ,2024-03-12,2024-03-14
DBMS-II: Constraint violations,2024-03-12,2024-03-13
Math-I:  Uniform,2024-03-13,2024-03-17
CO&A-I:  MIPS addressing. ,2024-03-13,2024-03-16
DBMS-II:  Relational Algebra,2024-03-13,2024-03-15
OS-II: Processes: Process concept,2024-03-14,2024-03-16
D&AA-II: Multiplication of large integers,2024-03-15,2024-03-18
DBMS-II:  Basic SQL: Data Definition,2024-03-15,2024-03-17
CO&A-II: Addition and subtraction,2024-03-16,2024-03-18
OS-II: Process scheduling,2024-03-16,2024-03-18
Math-I:  Exponential,2024-03-17,2024-03-20
DBMS-II: SQL constraints,2024-03-17,2024-03-19
DBL: 3. Complex SQL Queries,2024-03-17,2024-03-30
