NAME,START,END
Eng-I: Value Education : Need,2023-11-10,2023-11-11
DSA-III: Preliminaries,2023-11-10,2023-11-11
DSA-C-I: Algorithm Analysis: Running time calculations,2023-11-10,2023-11-12
DD-II: Decimal Adder,2023-11-10,2023-11-11
DD-C-I: Number Systems,2023-11-10,2023-11-13
OOP-III: Exceptions: Hierarchy,2023-11-10,2023-11-11
Math-III: Graphs,2023-11-10,2023-11-11
Math-C-I: Propositional Logic,2023-11-10,2023-11-12
DD Lab: 1. Verification of Boolean Theorems using basic gates.,2023-11-10,2023-11-14
OOP-C-I: Principles of OOP: Classes,2023-11-10,2023-11-11
OOP-III: Built-in exceptions,2023-11-11,2023-11-13
DSA-III:  Binary trees: Expression trees,2023-11-11,2023-11-13
Eng-I:  Basic Guidelines,2023-11-11,2023-11-12
DD-II: Binary Multiplier,2023-11-11,2023-11-13
OOP-C-I: Objects,2023-11-11,2023-11-12
Math-III: Graph terminology and special types of graphs,2023-11-11,2023-11-13
OOP-C-I: Data hiding,2023-11-12,2023-11-14
DSA-C-I:  Abstract Data Types (ADTs),2023-11-12,2023-11-15
Eng-I:  Content and Process,2023-11-12,2023-11-13
Math-C-I: Propositional equivalences,2023-11-12,2023-11-15
DSA-III:  Binary search tree ADT,2023-11-13,2023-11-15
DD-II: Magnitude Comparator,2023-11-13,2023-11-14
Eng-I:  Self-Exploration : meaning,2023-11-13,2023-11-14
OOP-III: Creating own exception,2023-11-13,2023-11-15
Math-III: Subgraphs,2023-11-13,2023-11-15
DD-C-I: Arithmetic Operations,2023-11-13,2023-11-17
OOP-C-I: Data encapsulation,2023-11-14,2023-11-15
DD-II: Decoders,2023-11-14,2023-11-16
"DD Lab: 2. Design and implementation of combinational circuits using basic gates for arbitrary functions, code
converters.",2023-11-14,2023-11-18
Eng-I:  importance and process,2023-11-14,2023-11-15
OOP-C-I: Inheritance,2023-11-15,2023-11-16
Math-III: Matrix representation of graphs and graph isomorphism,2023-11-15,2023-11-17
DSA-C-I:  List ADT: Array implementation of lists,2023-11-15,2023-11-17
OOP-III:  Packages in Java,2023-11-15,2023-11-17
Eng-I:  Continuous Happiness and Prosperity : A look at basic Human Aspirations,2023-11-15,2023-11-16
DSA-III:  AVL trees,2023-11-15,2023-11-17
Math-C-I: Predicates and quantifiers,2023-11-15,2023-11-17
Eng-I:  Right understanding,2023-11-16,2023-11-17
DD-II: Encoders,2023-11-16,2023-11-17
OOP-C-I: Poly- morphism,2023-11-16,2023-11-18
DD-II: Multiplexers,2023-11-17,2023-11-19
OOP-III: Examples in Java. ,2023-11-17,2023-11-19
Math-III: Connectivity,2023-11-17,2023-11-19
DSA-C-I: Linked lists,2023-11-17,2023-11-20
DD-C-I: Binary Codes– Boolean Algebra and Logic Gates,2023-11-17,2023-11-20
DSA-III:  Tree traversals,2023-11-17,2023-11-19
Math-C-I: Nested quantifiers,2023-11-17,2023-11-20
Eng-I:  Relationship and Physical Facilities : The basic requirements,2023-11-17,2023-11-18
OOP-C-I:  Definition of Classes: Objects,2023-11-18,2023-11-19
Eng-I:  Understanding Happiness and Prosperity : A critical appraisal of the current scenario,2023-11-18,2023-11-19
DD Lab: 3. Design and implement half/full adder and subtractor.,2023-11-18,2023-11-22
Eng-I:  Method to fulfil the above human aspirations : UNDERSTANDING and living in harmony at various levels. ,2023-11-19,2023-11-20
OOP-C-I: Methods,2023-11-19,2023-11-20
Math-III: Eulerian and Hamilton graphs. ,2023-11-19,2023-11-21
DD-II: Introduction to HDL,2023-11-19,2023-11-20
OOP-IV: Definition and concepts: Generic classes and generic methods,2023-11-19,2023-11-20
DSA-III:  B- Trees,2023-11-19,2023-11-21
DD-C-I: Theorems and Properties of Boolean Algebra,2023-11-20,2023-11-24
Math-C-I: Rules of inference,2023-11-20,2023-11-23
Eng-II: An understanding human being as a co-existence of the sentient ‘I’ and the material ‘Body’,2023-11-20,2023-11-21
OOP-IV: Generic types,2023-11-20,2023-11-22
DD-II: HDL Models of Combinational circuits. ,2023-11-20,2023-11-22
OOP-C-I: Access specifiers,2023-11-20,2023-11-22
DSA-C-I: Circular linked lists,2023-11-20,2023-11-23
Math-IV: Algebraic systems,2023-11-21,2023-11-23
Eng-II:  Understanding the needs of Self (‘I’) and ‘Body’ : Sukh and Suvidha,2023-11-21,2023-11-22
DSA-III:  Priority Queues: Binary heap. ,2023-11-21,2023-11-23
DD-III: Sequential Circuits,2023-11-22,2023-11-24
OOP-C-I: Static and final classes and members,2023-11-22,2023-11-23
"DD Lab: 4. Design and implement combinational circuits using MSI devices:
• 4-bit binary adder/subtractor
• Parity generator/checker
• Magnitude Comparator
• Application using multiplexers",2023-11-22,2023-11-26
Eng-II:  Understanding the Body as an instrument of ‘I’ (I being the doer seer and enjoyer),2023-11-22,2023-11-23
OOP-IV: Restrictions and limitations,2023-11-22,2023-11-24
Math-C-I: Introduction to proofs,2023-11-23,2023-11-25
DSA-C-I: Doubly linked lists,2023-11-23,2023-11-25
OOP-C-I:  Object Construction and Destruction,2023-11-23,2023-11-24
Eng-II:  Understanding the characteristics and activities of ‘I’ and harmony in ‘I’,2023-11-23,2023-11-24
DSA-IV: Graph Algorithms: Definitions,2023-11-23,2023-11-25
Math-IV: Semi groups and monoids,2023-11-23,2023-11-25
OOP-C-I: Fundamental programming structures in Java,2023-11-24,2023-11-26
Eng-II:  Understanding the harmony of I with the Body: Sanyam and Swasthya,2023-11-24,2023-11-25
DD-III: Storage Elements: Latches,2023-11-24,2023-11-25
DD-C-I: Boolean Functions,2023-11-24,2023-11-27
OOP-IV: Inheritance rules for generic types,2023-11-24,2023-11-26
Math-C-I: Proof methods and strategy,2023-11-25,2023-11-28
DSA-C-I: Applications of Lists: Polynomial manipulation. ,2023-11-25,2023-11-28
Eng-II:  correct appraisal of Physical needs,2023-11-25,2023-11-26
DSA-IV: Representation of graphs,2023-11-25,2023-11-27
DD-III: Flip-Flops,2023-11-25,2023-11-27
Math-IV: Groups,2023-11-25,2023-11-27
OOP-C-I:  Streams: Input– Output,2023-11-26,2023-11-27
Eng-II:  the meaning of Prosperity in detail,2023-11-26,2023-11-27
OOP-IV: Reflections,2023-11-26,2023-11-28
DD Lab: 5. Design and implement shift-registers.,2023-11-26,2023-12-01
OOP-C-I:  String handling,2023-11-27,2023-11-28
DD-III:  Analysis of Clocked Sequential Circuits,2023-11-27,2023-11-28
